t,n
00:02:55,1
00:07:53,1
00:12:52,1
00:17:51,1
00:22:50,1
00:27:48,1
00:32:47,1
00:37:46,1
00:42:45,1
00:47:43,1
00:52:42,1
00:57:41,1
01:02:40,1
01:07:38,1
01:12:37,1
01:17:36,1
01:22:35,1
01:27:33,1
01:32:32,1
01:37:31,1
01:42:30,1
01:47:28,1
01:52:27,1
01:57:26,1
02:02:25,1
02:07:23,1
02:12:22,1
02:17:21,1
02:22:20,1
02:27:19,1
02:32:17,1
02:37:16,1
02:42:15,1
02:47:13,1
02:52:12,1
02:57:11,1
03:02:10,1
03:07:09,1
03:12:07,1
03:17:06,1
03:22:05,1
03:27:04,1
03:32:02,1
03:37:01,1
03:42:00,1
03:46:59,1
03:51:57,1
03:56:56,1
04:01:55,1
04:06:54,1
04:11:52,1
04:16:51,1
04:21:50,1
04:26:49,1
04:31:47,1
04:36:46,1
04:41:45,1
04:46:44,1
04:51:43,1
04:56:41,1
05:01:40,1
05:06:39,1
05:11:37,1
05:16:36,1
05:21:35,1
05:26:34,1
05:31:33,1
05:36:31,1
05:41:30,1
05:46:29,1
05:51:28,1
05:56:26,1
06:01:25,1
06:06:24,1
06:11:23,1
06:16:21,1
06:21:20,1
06:26:19,1
06:31:18,1
06:36:16,1
06:41:15,1
06:46:14,1
06:51:13,1
06:56:11,1
07:01:10,1
07:06:09,1
07:11:08,1
07:16:06,1
07:21:05,1
07:26:04,1
07:31:03,1
07:36:01,1
07:41:00,1
07:45:59,1
07:50:58,1
07:55:56,1
08:00:55,1
08:05:54,1
08:10:53,1
08:15:51,1
08:20:50,1
08:25:49,1
08:30:48,1
08:35:46,1
08:40:45,1
08:45:44,1
08:50:43,1
08:55:41,1
09:00:40,1
09:05:39,1
09:08:17,0
09:08:49,1
09:13:48,1
09:18:47,1
09:23:45,1
09:28:44,1
09:33:43,1
09:38:42,1
09:43:40,1
09:48:39,1
09:53:38,1
09:58:37,1
10:03:35,1
10:08:34,1
10:13:33,1
10:18:32,1
10:23:31,1
10:28:29,1
10:33:28,1
10:38:27,1
10:43:25,1
10:48:24,1
10:53:23,1
10:58:22,1
11:03:20,1
11:08:19,1
11:13:18,1
11:18:17,1
11:23:15,1
11:28:14,1
11:33:13,1
11:38:12,1
11:43:10,1
11:48:09,1
11:53:08,1
11:58:07,1
12:03:05,1
12:08:04,1
12:13:03,1
12:18:02,1
12:23:00,1
12:27:59,1
12:32:58,1
12:37:57,1
12:42:55,1
12:47:54,1
12:52:53,1
12:57:52,1
13:02:51,1
13:07:49,1
13:12:48,1
13:17:47,1
13:22:45,1
13:27:44,1
13:32:43,1
13:37:42,1
13:42:41,1
13:47:39,1
13:52:38,1
13:57:37,1
14:02:36,1
14:07:34,1
14:12:33,1
14:17:32,1
14:22:31,1
14:27:29,1
14:32:28,1
14:37:27,1
14:42:26,1
14:47:24,1
14:52:23,1
14:57:22,1
15:02:21,1
15:07:19,1
15:12:18,1
15:17:17,1
15:22:16,1
15:27:14,1
15:32:13,1
15:37:12,1
15:42:11,1
15:47:09,1
15:52:08,1
15:57:07,1
16:02:06,1
16:07:04,1
16:12:03,1
16:17:02,1
16:22:01,1
16:26:59,1
16:31:58,1
16:36:57,1
16:41:56,1
16:46:54,1
16:51:53,1
16:56:52,1
17:01:51,1
17:06:49,1
17:11:48,1
17:16:47,1
17:21:46,1
17:26:45,1
17:31:43,1
17:36:42,1
17:41:41,1
17:46:40,1
17:51:38,1
17:56:37,1
18:01:36,1
18:06:35,1
18:11:33,1
18:16:32,1
18:21:31,1
18:26:30,1
18:31:28,1
18:36:27,1
18:41:26,1
18:46:25,1
18:51:23,1
18:56:22,1
19:01:21,1
19:06:20,1
19:11:18,1
19:16:17,1
19:21:16,1
19:26:15,1
19:31:13,1
19:36:12,1
19:41:11,1
19:46:10,1
19:51:08,1
19:56:07,1
20:01:06,1
20:06:05,1
20:11:03,1
20:16:02,1
20:21:01,1
20:26:00,1
20:30:58,1
20:35:57,1
20:40:56,1
20:45:55,1
20:50:53,1
20:55:52,1
21:00:51,1
21:05:50,1
21:10:50,1
21:15:48,1
21:20:46,1
21:25:45,1
21:30:44,1
21:35:43,1
21:40:41,1
21:45:40,1
21:50:39,1
21:55:38,1
22:00:36,1
22:05:35,1
22:10:34,1
22:15:33,1
22:20:31,1
22:25:30,1
22:30:29,1
22:35:28,1
22:40:26,1
22:45:25,1
22:50:24,1
22:55:23,1
23:00:21,1
23:05:20,1
23:10:19,1
23:15:18,1
23:20:16,1
23:25:15,1
23:30:14,1
23:35:13,1
23:40:11,1
23:45:10,1
23:50:09,1
23:55:08,1
