t,n
00:03:11,1
00:08:08,1
00:13:07,1
00:18:05,1
00:23:05,1
00:28:03,1
00:33:02,1
00:38:01,1
00:43:00,1
00:47:58,1
00:53:01,1
00:57:55,1
01:02:55,1
01:07:53,1
01:12:52,1
01:17:51,1
01:22:50,1
01:27:51,1
01:32:47,1
01:37:46,1
01:42:45,1
01:47:43,1
01:52:42,1
01:57:41,1
02:02:39,1
02:07:38,1
02:12:38,1
02:17:36,1
02:22:34,1
02:27:33,1
02:32:32,1
02:37:31,1
02:42:29,1
02:47:29,1
02:52:27,1
02:57:26,1
03:02:29,1
03:08:14,1
03:12:22,1
03:17:21,1
03:22:19,1
03:27:18,1
03:32:17,1
03:37:16,1
03:42:15,1
03:47:13,1
03:52:12,1
03:57:11,1
04:02:10,1
04:07:08,1
04:12:07,1
04:17:06,1
04:22:05,1
04:27:03,1
04:32:02,1
04:37:01,1
04:42:00,1
04:46:58,1
04:51:57,1
04:56:56,1
05:01:55,1
05:06:53,1
05:11:52,1
05:16:51,1
05:21:50,1
05:26:48,1
05:31:47,1
05:36:46,1
05:41:45,1
05:46:44,1
05:51:42,1
05:56:41,1
06:01:40,1
06:06:39,1
06:11:37,1
06:16:36,1
06:21:35,1
06:26:34,1
06:31:33,1
06:36:31,1
06:41:30,1
06:46:30,1
06:51:28,1
06:56:26,1
07:01:27,1
07:06:24,1
07:11:23,1
07:16:21,1
07:21:20,1
07:26:19,1
07:31:23,1
07:36:17,1
07:41:19,1
07:46:15,1
07:51:13,1
07:56:13,1
08:02:01,1
08:07:01,1
08:11:59,1
08:16:07,1
08:21:05,1
08:26:07,1
08:31:03,1
08:36:02,1
08:41:00,1
08:46:01,1
08:51:01,1
08:55:57,1
09:00:56,1
09:05:54,1
09:10:53,1
09:15:52,1
09:20:50,1
09:25:49,1
09:31:44,1
09:35:47,1
09:40:50,1
09:45:45,1
09:50:43,1
09:55:42,1
10:00:41,1
10:05:39,1
10:10:38,1
10:15:37,1
10:20:36,1
10:25:34,1
10:30:33,1
10:35:33,1
10:42:01,1
10:45:29,1
10:50:28,1
10:55:28,1
11:00:26,1
11:06:16,1
11:11:16,1
11:16:54,1
11:20:26,1
11:25:25,1
11:30:19,1
11:35:17,1
11:40:16,1
11:45:15,1
11:51:05,1
11:55:12,1
12:00:11,1
12:05:10,1
12:10:13,1
12:15:07,1
12:20:06,1
12:25:05,1
12:30:09,1
12:35:04,1
12:40:07,1
12:45:06,1
12:49:58,1
12:54:58,1
12:59:56,1
13:04:55,1
13:09:54,1
13:14:52,1
13:20:41,1
13:24:50,1
13:29:49,1
13:34:47,1
13:39:46,1
13:44:46,1
13:49:44,1
13:54:42,1
14:01:11,1
14:04:40,1
14:09:39,1
14:14:41,1
14:19:38,1
14:24:36,1
14:29:34,1
14:34:33,1
14:39:32,1
14:44:34,1
14:49:29,1
14:54:28,1
14:59:26,1
15:04:25,1
15:09:24,1
15:14:23,1
15:19:21,1
15:24:21,1
15:29:20,1
15:34:18,1
15:39:17,1
15:44:18,1
15:49:15,1
15:59:11,1
16:04:10,1
16:09:03,0
16:09:03,1
16:15:39,1
16:20:30,1
16:24:51,1
16:29:00,1
16:33:59,1
16:39:00,1
16:44:00,1
16:48:54,1
16:53:53,1
16:58:55,1
17:03:54,1
17:08:49,1
17:13:47,1
17:18:46,1
17:23:45,1
17:28:43,1
17:33:42,1
17:38:42,1
17:43:39,1
17:48:40,1
17:53:39,1
17:58:38,1
18:05:03,1
18:10:04,1
18:13:37,1
18:18:31,1
18:23:35,1
18:33:32,1
18:38:36,1
18:43:30,1
18:49:58,1
19:04:08,1
19:09:58,1
19:15:37,1
19:24:03,1
19:39:47,1
19:49:45,1
19:59:43,1
20:15:22,1
20:20:23,1
20:25:21,1
20:30:21,1
20:35:19,1
20:40:16,1
20:45:17,1
20:51:43,1
21:00:11,1
21:10:09,1
21:15:12,1
21:20:08,1
21:25:06,1
21:31:34,1
21:40:01,1
21:46:33,1
21:50:04,1
21:56:26,1
22:04:55,1
22:10:46,1
22:14:53,1
22:24:50,1
22:30:41,1
22:34:51,1
22:44:45,1
22:54:43,1
23:01:12,1
23:06:12,1
23:14:38,1
23:21:08,1
23:24:37,1
23:29:37,1
23:34:34,1
23:39:32,1
23:44:30,1
23:49:30,1
23:54:29,1
23:59:31,1
