t,n
00:02:13,1
00:07:11,1
00:12:10,1
00:17:09,1
00:22:08,1
00:27:06,1
00:32:05,1
00:37:04,1
00:42:03,1
00:47:01,1
00:52:00,1
00:56:59,1
01:01:58,1
01:06:56,1
01:11:55,1
01:16:54,1
01:21:53,1
01:26:51,1
01:31:50,1
01:36:49,1
01:41:48,1
01:46:46,1
01:51:45,1
01:56:44,1
02:01:43,1
02:06:41,1
02:11:40,1
02:16:39,1
02:21:38,1
02:26:36,1
02:31:35,1
02:36:34,1
02:41:33,1
02:46:31,1
02:51:30,1
02:56:29,1
03:01:28,1
03:06:26,1
03:11:25,1
03:16:24,1
03:21:23,1
03:26:22,1
03:31:20,1
03:36:19,1
03:41:18,1
03:46:17,1
03:51:15,1
03:56:14,1
04:01:13,1
04:06:11,1
04:11:10,1
04:16:09,1
04:21:08,1
04:26:07,1
04:31:05,1
04:36:04,1
04:41:03,1
04:46:02,1
04:51:00,1
04:55:59,1
05:00:58,1
05:05:57,1
05:10:55,1
05:15:54,1
05:20:53,1
05:25:52,1
05:30:50,1
05:35:49,1
05:40:48,1
05:45:47,1
05:50:45,1
05:55:44,1
06:00:43,1
06:05:42,1
06:10:40,1
06:15:39,1
06:20:38,1
06:25:37,1
06:30:35,1
06:35:34,1
06:40:33,1
06:45:32,1
06:50:30,1
06:55:29,1
07:00:28,1
07:05:27,1
07:10:25,1
07:15:24,1
07:20:23,1
07:25:22,1
07:30:20,1
07:35:19,1
07:40:18,1
07:45:17,1
07:50:15,1
07:55:14,1
08:00:13,1
08:05:12,1
08:10:11,1
08:15:09,1
08:20:08,1
08:25:07,1
08:30:06,1
08:35:04,1
08:40:03,1
08:45:02,1
08:50:01,1
08:54:59,1
08:59:58,1
09:04:57,1
09:09:56,1
09:14:54,1
09:19:53,1
09:24:52,1
09:29:51,1
09:34:49,1
09:39:48,1
09:44:47,1
09:49:46,1
09:54:44,1
09:59:43,1
10:04:42,1
10:09:41,1
10:14:40,1
10:19:38,1
10:24:37,1
10:29:36,1
10:34:34,1
10:39:33,1
10:44:32,1
10:49:31,1
10:54:29,1
10:59:28,1
11:04:27,1
11:09:26,1
11:14:25,1
11:19:23,1
11:24:22,1
11:29:21,1
11:34:19,1
11:39:18,1
11:44:17,1
11:49:16,1
11:54:15,1
11:59:13,1
12:04:12,1
12:09:11,1
12:14:10,1
12:19:08,1
12:24:07,1
12:29:06,1
12:34:05,1
12:39:03,1
12:44:02,1
12:49:01,1
12:54:00,1
12:58:58,1
13:03:57,1
13:08:56,1
13:13:55,1
13:18:53,1
13:23:52,1
13:28:51,1
13:33:50,1
13:38:49,1
13:43:47,1
13:48:46,1
13:53:45,1
13:58:43,1
14:03:42,1
14:08:41,1
14:13:40,1
14:18:38,1
14:23:37,1
14:28:36,1
14:33:35,1
14:38:33,1
14:43:32,1
14:48:31,1
14:53:30,1
14:58:28,1
15:03:27,1
15:08:26,1
15:13:25,1
15:18:23,1
15:23:22,1
15:28:21,1
15:33:20,1
15:38:19,1
15:43:17,1
15:48:16,1
15:53:15,1
15:58:13,1
16:03:12,1
16:08:11,1
16:13:10,1
16:18:09,1
16:23:07,1
16:28:06,1
16:33:05,1
16:38:04,1
16:43:02,1
16:48:01,1
16:53:00,1
16:57:59,1
17:02:57,1
17:07:56,1
17:12:55,1
17:17:54,1
17:22:52,1
17:27:51,1
17:32:50,1
17:37:49,1
17:42:47,1
17:47:46,1
17:52:45,1
17:57:44,1
18:02:42,1
18:07:41,1
18:12:40,1
18:17:39,1
18:22:37,1
18:27:36,1
18:32:35,1
18:37:34,1
18:42:32,1
18:47:31,1
18:52:30,1
18:57:29,1
19:02:27,1
19:07:26,1
19:12:25,1
19:17:24,1
19:22:22,1
19:27:21,1
19:32:20,1
19:37:19,1
19:42:17,1
19:47:16,1
19:52:15,1
19:57:14,1
20:02:13,1
20:07:11,1
20:12:10,1
20:17:09,1
20:22:08,1
20:27:06,1
20:32:05,1
20:37:04,1
20:42:03,1
20:47:01,1
20:52:00,1
20:56:59,1
21:01:58,1
21:06:56,1
21:11:55,1
21:16:54,1
21:21:53,1
21:26:51,1
21:31:50,1
21:36:49,1
21:41:48,1
21:46:46,1
21:51:45,1
21:56:44,1
22:01:43,1
22:06:41,1
22:11:40,1
22:16:39,1
22:21:38,1
22:26:36,1
22:31:35,1
22:36:34,1
22:41:33,1
22:46:31,1
22:51:30,1
22:56:29,1
23:01:28,1
23:06:26,1
23:11:25,1
23:16:24,1
23:21:23,1
23:26:21,1
23:31:20,1
23:36:19,1
23:41:18,1
23:46:16,1
23:51:15,1
23:56:14,1
