t,n
00:01:03,1
00:06:02,1
00:11:00,1
00:15:59,1
00:20:58,1
00:25:57,1
00:30:55,1
00:35:54,1
00:40:53,1
00:45:52,1
00:50:50,1
00:55:49,1
01:00:48,1
01:05:47,1
01:10:45,1
01:15:44,1
01:20:43,1
01:25:42,1
01:30:40,1
01:35:39,1
01:40:38,1
01:45:37,1
01:50:35,1
01:55:34,1
02:00:33,1
02:05:32,1
02:10:31,1
02:15:29,1
02:20:28,1
02:25:27,1
02:30:26,1
02:35:24,1
02:40:23,1
02:45:22,1
02:50:21,1
02:55:19,1
03:00:18,1
03:05:17,1
03:10:16,1
03:15:14,1
03:20:13,1
03:25:12,1
03:30:11,1
03:35:09,1
03:40:08,1
03:45:07,1
03:50:06,1
03:55:04,1
04:00:03,1
04:05:02,1
04:10:01,1
04:14:59,1
04:19:58,1
04:24:57,1
04:29:56,1
04:34:54,1
04:39:53,1
04:44:52,1
04:49:51,1
04:54:49,1
04:59:48,1
05:04:47,1
05:09:46,1
05:14:44,1
05:19:43,1
05:24:42,1
05:29:41,1
05:34:39,1
05:39:38,1
05:44:37,1
05:49:36,1
05:54:35,1
05:59:33,1
06:04:32,1
06:09:31,1
06:14:29,1
06:19:28,1
06:24:27,1
06:29:26,1
06:34:25,1
06:39:23,1
06:44:22,1
06:49:21,1
06:54:20,1
06:59:18,1
07:04:17,1
07:09:16,1
07:14:15,1
07:19:13,1
07:24:12,1
07:29:11,1
07:34:10,1
07:39:08,1
07:44:07,1
07:49:06,1
07:54:05,1
07:59:03,1
08:04:02,1
08:09:01,1
08:14:00,1
08:18:58,1
08:23:57,1
08:28:56,1
08:33:55,1
08:38:53,1
08:43:52,1
08:48:51,1
08:53:50,1
08:58:48,1
09:03:47,1
09:08:46,1
09:13:45,1
09:18:43,1
09:23:42,1
09:28:41,1
09:33:40,1
09:38:38,1
09:43:37,1
09:48:36,1
09:53:35,1
09:58:33,1
10:03:32,1
10:08:31,1
10:13:30,1
10:18:29,1
10:23:27,1
10:28:26,1
10:33:25,1
10:38:23,1
10:43:22,1
10:48:21,1
10:53:20,1
10:58:19,1
11:03:17,1
11:08:16,1
11:13:15,1
11:18:14,1
11:23:12,1
11:28:11,1
11:33:10,1
11:38:09,1
11:43:07,1
11:48:06,1
11:53:05,1
11:58:04,1
12:03:02,1
12:08:01,1
12:13:00,1
12:17:59,1
12:22:57,1
12:27:56,1
12:32:55,1
12:37:54,1
12:42:52,1
12:47:51,1
12:52:50,1
12:57:49,1
13:02:47,1
13:07:46,1
13:12:45,1
13:17:44,1
13:22:42,1
13:27:41,1
13:32:40,1
13:37:39,1
13:42:37,1
13:47:36,1
13:52:35,1
13:57:34,1
14:02:32,1
14:07:31,1
14:12:30,1
14:17:29,1
14:22:27,1
14:27:26,1
14:32:25,1
14:37:24,1
14:42:23,1
14:47:21,1
14:52:20,1
14:57:19,1
15:02:18,1
15:07:16,1
15:12:15,1
15:17:14,1
15:22:13,1
15:27:11,1
15:32:10,1
15:37:09,1
15:42:08,1
15:47:06,1
15:52:05,1
15:57:04,1
16:02:03,1
16:07:01,1
16:12:00,1
16:16:59,1
16:21:58,1
16:26:56,1
16:31:55,1
16:36:54,1
16:41:53,1
16:46:51,1
16:51:50,1
16:56:49,1
17:01:48,1
17:06:47,1
17:11:45,1
17:16:44,1
17:21:43,1
17:26:42,1
17:31:40,1
17:36:39,1
17:41:38,1
17:46:36,1
17:51:35,1
17:56:34,1
18:01:33,1
18:06:31,1
18:11:30,1
18:16:29,1
18:21:28,1
18:26:26,1
18:31:25,1
18:36:24,1
18:41:23,1
18:46:21,1
18:51:20,1
18:56:19,1
19:01:18,1
19:06:17,1
19:11:15,1
19:16:14,1
19:21:13,1
19:26:12,1
19:31:10,1
19:36:09,1
19:41:08,1
19:46:07,1
19:51:05,1
19:56:04,1
20:01:03,1
20:06:02,1
20:11:00,1
20:15:59,1
20:20:58,1
20:25:57,1
20:30:55,1
20:35:54,1
20:40:53,1
20:45:52,1
20:50:50,1
20:55:49,1
21:00:48,1
21:05:47,1
21:10:45,1
21:15:44,1
21:20:43,1
21:25:42,1
21:30:40,1
21:35:39,1
21:40:38,1
21:45:37,1
21:50:35,1
21:55:34,1
22:00:33,1
22:05:32,1
22:10:30,1
22:15:29,1
22:20:28,1
22:25:27,1
22:30:25,1
22:35:24,1
22:40:23,1
22:45:22,1
22:50:21,1
22:55:19,1
23:00:18,1
23:05:17,1
23:10:15,1
23:15:14,1
23:20:13,1
23:25:12,1
23:30:11,1
23:35:09,1
23:40:08,1
23:45:07,1
23:50:06,1
23:55:04,1
