t,n
00:03:38,0
00:08:37,0
00:13:36,0
00:18:35,0
00:23:33,0
00:28:32,0
00:33:31,0
00:38:29,0
00:43:28,0
00:48:27,0
00:53:26,0
00:58:25,0
01:03:23,0
01:08:22,0
01:13:21,0
01:18:20,0
01:23:18,0
01:28:17,0
01:33:16,0
01:38:15,0
01:43:13,0
01:48:12,0
01:53:11,0
01:58:10,0
02:03:08,0
02:08:07,0
02:13:06,0
02:18:05,0
02:23:03,0
02:28:02,0
02:33:01,0
02:38:00,0
02:42:58,0
02:47:57,0
02:52:56,0
02:57:55,0
03:02:53,0
03:07:52,0
03:12:51,0
03:17:50,0
03:22:48,0
03:27:47,0
03:32:46,0
03:37:45,0
03:42:43,0
03:47:42,0
03:52:41,0
03:57:40,0
04:02:38,0
04:07:37,0
04:12:36,0
04:17:35,0
04:22:33,0
04:27:32,0
04:32:31,0
04:37:30,0
04:42:28,0
04:47:27,0
04:52:26,0
04:57:25,0
05:02:23,0
05:07:22,0
05:12:21,0
05:17:20,0
05:22:18,0
05:27:17,0
05:32:16,0
05:37:15,0
05:42:13,0
05:47:12,0
05:52:11,0
05:57:10,0
06:02:08,0
06:07:07,0
06:12:06,0
06:17:05,0
06:22:03,0
06:27:02,0
06:32:01,0
06:37:00,0
06:41:59,0
06:46:57,0
06:51:56,0
06:56:55,0
07:01:53,0
07:06:52,0
07:11:51,0
07:16:50,0
07:21:49,0
07:26:47,0
07:31:46,0
07:36:45,0
07:41:44,0
07:46:42,0
07:51:41,0
07:56:40,0
08:01:39,0
08:06:37,0
08:11:36,0
08:16:35,0
08:21:34,0
08:26:32,0
08:31:31,0
08:36:30,0
08:41:29,0
08:46:27,0
08:51:26,0
08:56:25,0
09:01:24,0
09:06:22,0
09:11:21,0
09:16:20,0
09:21:19,0
09:26:17,0
09:31:16,0
09:36:15,0
09:41:14,0
09:46:12,0
09:51:11,0
09:56:10,0
10:01:09,0
10:06:07,0
10:11:06,0
10:16:05,0
10:21:04,0
10:26:02,0
10:31:01,0
10:36:00,0
10:40:59,0
10:45:57,0
10:50:56,0
10:55:55,0
11:00:54,0
11:05:52,0
11:10:51,0
11:15:50,0
11:20:49,0
11:25:47,0
11:30:46,0
11:35:45,0
11:40:44,0
11:45:42,0
11:50:41,0
11:55:40,0
12:00:39,0
12:05:37,0
12:10:36,0
12:15:35,0
12:20:34,0
12:25:32,0
12:30:31,0
12:35:30,0
12:40:29,0
12:45:27,0
12:50:26,0
12:55:25,0
13:00:24,0
13:05:23,0
13:10:21,0
13:11:37,1
13:13:27,0
13:13:35,1
13:15:38,0
13:15:49,1
13:18:59,0
13:19:07,1
13:19:38,0
13:19:45,1
13:20:20,0
13:20:30,1
13:21:00,0
13:21:10,1
13:21:16,0
13:21:27,1
13:22:26,0
13:23:36,1
13:26:13,0
13:26:20,1
13:29:36,0
13:29:44,1
13:30:07,0
13:30:16,1
13:30:31,0
13:30:38,1
13:32:02,0
13:32:10,1
13:32:22,0
13:32:43,1
13:33:02,0
13:33:12,1
13:33:32,0
13:33:39,1
13:34:45,0
13:34:59,1
13:35:33,0
13:35:39,1
13:40:39,1
13:41:09,0
13:41:16,1
13:41:43,0
13:41:50,1
13:43:11,0
13:43:19,1
13:44:41,0
13:44:48,1
13:45:10,0
13:45:22,1
13:46:28,0
13:46:38,1
13:47:42,0
13:47:49,1
13:48:00,0
13:48:10,1
13:49:33,0
13:49:39,1
13:50:57,0
13:51:05,1
13:51:13,0
13:51:16,1
13:51:36,0
13:51:44,1
13:53:12,0
13:53:16,1
13:54:06,0
13:54:13,1
13:57:10,0
13:57:19,1
14:00:59,0
14:01:06,1
14:01:52,0
14:02:01,1
14:04:09,0
14:04:16,1
14:05:25,0
14:05:32,1
14:07:13,0
14:07:19,1
14:09:54,0
14:10:01,1
14:10:22,0
14:10:26,1
14:11:06,0
14:11:17,1
14:11:22,0
14:11:29,1
14:12:18,0
14:12:25,1
14:12:53,0
14:12:59,1
14:13:59,0
14:14:06,1
