t,n
00:01:57,1
00:06:56,1
00:11:55,1
00:16:53,1
00:21:52,1
00:26:51,1
00:31:50,1
00:36:48,1
00:41:47,1
00:46:46,1
00:51:45,1
00:56:43,1
01:01:42,1
01:06:41,1
01:11:40,1
01:16:38,1
01:21:37,1
01:26:36,1
01:31:35,1
01:36:34,1
01:41:32,1
01:46:31,1
01:51:30,1
01:56:28,1
02:01:27,1
02:06:26,1
02:11:25,1
02:16:23,1
02:21:22,1
02:26:21,1
02:31:20,1
02:36:18,1
02:41:17,1
02:46:16,1
02:51:15,1
02:56:13,1
03:01:12,1
03:06:11,1
03:11:10,1
03:16:08,1
03:21:07,1
03:26:06,1
03:31:05,1
03:36:03,1
03:41:02,1
03:46:01,1
03:51:00,1
03:55:58,1
04:00:57,1
04:05:56,1
04:10:55,1
04:15:53,1
04:20:52,1
04:25:51,1
04:30:50,1
04:35:48,1
04:40:47,1
04:45:46,1
04:50:45,1
04:55:43,1
05:00:42,1
05:05:41,1
05:10:40,1
05:15:38,1
05:20:37,1
05:25:36,1
05:30:35,1
05:35:33,1
05:40:32,1
05:45:31,1
05:50:30,1
05:55:28,1
06:00:27,1
06:05:26,1
06:10:25,1
06:15:23,1
06:20:22,1
06:25:21,1
06:30:20,1
06:35:19,1
06:40:17,1
06:45:16,1
06:50:15,1
06:55:13,1
07:00:12,1
07:05:11,1
07:10:10,1
07:15:09,1
07:20:07,1
07:25:06,1
07:30:05,1
07:35:04,1
07:40:02,1
07:45:01,1
07:50:00,1
07:54:59,1
07:59:57,1
08:04:56,1
08:09:55,1
08:14:54,1
08:19:52,1
08:24:51,1
08:29:50,1
08:34:49,1
08:39:47,1
08:44:46,1
08:49:45,1
08:54:44,1
08:57:14,0
08:58:36,1
08:58:43,0
09:03:42,0
09:04:54,1
09:05:16,0
09:06:48,1
09:06:58,0
09:07:11,1
09:07:26,0
09:11:22,1
09:11:30,0
09:12:11,1
09:12:37,0
09:14:49,1
09:14:59,0
09:15:47,1
09:15:55,0
09:16:33,1
09:16:43,0
09:19:31,1
09:19:38,0
09:19:54,1
09:20:10,0
09:21:11,1
09:21:18,0
09:22:44,1
09:22:55,0
09:24:01,1
09:24:09,0
09:24:41,1
09:24:49,0
09:25:06,1
09:25:15,0
09:26:21,1
09:26:28,0
09:27:47,1
09:27:56,0
09:27:58,1
09:28:33,0
09:30:11,1
09:30:18,0
09:30:34,1
09:31:37,0
09:32:25,1
09:32:36,0
09:33:57,1
09:34:04,0
09:34:26,1
09:34:34,0
09:34:56,1
09:35:05,0
09:35:07,1
09:35:15,0
09:35:48,1
09:35:57,0
09:37:15,1
09:37:22,0
09:38:38,1
09:38:47,0
09:39:38,1
09:39:46,0
09:40:10,1
09:40:18,0
09:40:37,1
09:40:45,0
09:41:24,1
09:41:32,0
09:41:52,1
09:42:00,0
09:42:56,1
09:43:05,0
09:44:05,1
09:44:12,0
09:46:24,1
09:46:32,0
09:46:58,1
09:47:08,0
09:48:39,1
09:48:50,0
09:50:54,1
09:51:01,0
09:51:13,1
09:51:33,0
09:54:38,1
09:55:33,0
09:55:57,1
09:56:06,0
09:56:09,1
09:56:23,0
09:56:27,1
09:56:35,0
09:58:44,1
09:58:53,0
09:59:52,1
09:59:59,0
10:00:00,1
10:00:13,0
10:00:34,1
10:01:00,0
10:01:35,1
10:01:44,0
10:02:01,1
10:02:09,0
10:03:00,1
10:03:08,0
10:03:51,1
10:04:00,0
10:05:44,1
10:05:54,0
10:07:32,1
10:07:40,0
10:08:19,1
10:08:29,0
10:09:16,1
10:09:22,0
10:09:29,1
10:09:36,0
10:12:44,1
10:12:51,0
10:13:10,1
10:13:17,0
10:13:34,1
10:13:41,0
10:14:17,1
10:14:27,0
10:16:15,1
10:16:26,0
10:16:36,1
10:16:43,0
10:17:31,1
10:17:44,0
10:19:51,1
10:20:02,0
10:20:18,1
10:20:25,0
10:20:52,1
10:20:59,0
10:22:48,1
10:22:57,0
10:23:04,1
10:23:11,0
10:23:43,1
10:23:50,0
10:24:09,1
10:24:18,0
10:25:10,1
10:25:17,0
10:26:03,1
10:26:11,0
10:26:58,1
10:27:06,0
10:28:23,1
10:28:34,0
10:28:37,1
10:28:46,0
10:29:21,1
10:29:28,0
10:30:59,1
10:31:08,0
10:34:31,1
10:34:46,0
10:34:51,1
10:35:05,0
10:35:18,1
10:35:26,0
10:36:37,1
10:36:45,0
10:36:56,1
10:37:07,0
10:40:32,1
10:40:42,0
10:40:50,1
10:40:59,0
10:41:34,1
10:41:44,0
10:43:18,1
10:43:23,0
10:43:41,1
10:43:49,0
10:43:54,1
10:44:04,0
10:44:11,1
10:44:18,0
10:44:25,1
10:44:34,0
10:44:51,1
10:45:00,0
10:46:31,1
10:46:39,0
10:47:04,1
10:47:22,0
10:47:39,1
10:47:49,0
10:47:51,1
10:47:59,0
10:48:15,1
10:48:25,0
10:48:43,1
10:48:52,0
10:49:36,1
10:49:43,0
10:50:45,1
10:51:07,0
10:51:14,1
10:52:20,0
10:53:07,1
10:53:14,0
10:55:07,1
10:55:18,0
10:56:13,1
10:56:23,0
10:57:53,1
10:58:01,0
10:58:30,1
10:58:44,0
10:59:22,1
10:59:29,0
10:59:56,1
11:00:04,0
11:00:53,1
11:01:02,0
11:03:23,1
11:03:34,0
11:05:03,1
11:05:29,0
11:06:43,1
11:06:59,0
11:07:37,1
11:07:44,0
11:09:19,1
11:09:28,0
11:09:30,1
11:09:44,0
11:09:51,1
11:09:59,0
11:10:15,1
11:10:25,0
11:10:42,1
11:10:49,0
11:11:29,1
11:11:36,0
11:11:44,1
11:12:06,0
11:12:41,1
11:12:48,0
11:12:57,1
11:13:04,0
11:13:06,1
11:13:13,0
11:13:49,1
