t,n
00:01:58,1
00:06:57,1
00:11:56,1
00:16:54,1
00:21:53,1
00:26:52,1
00:31:51,1
00:36:49,1
00:41:48,1
00:46:47,1
00:51:46,1
00:56:45,1
01:01:43,1
01:06:42,1
01:11:41,1
01:16:40,1
01:21:38,1
01:26:37,1
01:31:36,1
01:36:35,1
01:41:33,1
01:46:32,1
01:51:31,1
01:56:30,1
02:01:28,1
02:06:27,1
02:11:26,1
02:16:25,1
02:21:23,1
02:26:22,1
02:31:21,1
02:36:20,1
02:41:19,1
02:46:17,1
02:51:16,1
02:56:15,1
03:01:14,1
03:06:12,1
03:11:11,1
03:16:10,1
03:21:09,1
03:26:07,1
03:31:06,1
03:36:05,1
03:41:04,1
03:46:02,1
03:51:01,1
03:56:00,1
04:00:59,1
04:05:57,1
04:10:56,1
04:15:55,1
04:20:54,1
04:25:53,1
04:30:51,1
04:35:50,1
04:40:49,1
04:45:48,1
04:50:46,1
04:55:45,1
05:00:44,1
05:05:43,1
05:10:41,1
05:15:40,1
05:20:39,1
05:25:38,1
05:30:36,1
05:35:35,1
05:40:34,1
05:45:33,1
05:50:31,1
05:55:30,1
06:00:29,1
06:05:28,1
06:10:26,1
06:15:25,1
06:20:24,1
06:25:23,1
06:30:21,1
06:35:20,1
06:40:19,1
06:45:18,1
06:50:17,1
06:55:15,1
07:00:14,1
07:05:13,1
07:10:12,1
07:15:10,1
07:20:09,1
07:25:08,1
07:30:07,1
07:35:05,1
07:40:04,1
07:45:03,1
07:50:02,1
07:55:00,1
07:59:59,1
08:04:58,1
08:09:57,1
08:14:55,1
08:19:54,1
08:24:53,1
08:29:52,1
08:34:51,1
08:39:49,1
08:44:48,1
08:49:47,1
08:54:46,1
08:59:44,1
09:04:43,1
09:09:42,1
09:14:41,1
09:19:39,1
09:24:38,1
09:29:37,1
09:34:36,1
09:39:34,1
09:44:33,1
09:49:32,1
09:54:31,1
09:59:29,1
10:04:28,1
10:09:27,1
10:10:05,0
10:14:04,1
10:14:11,0
10:14:20,1
10:14:27,0
10:15:49,1
10:16:01,0
10:17:04,1
10:17:13,0
10:17:56,1
10:18:03,0
10:19:58,1
10:20:06,0
10:23:24,1
10:23:31,0
10:24:29,1
10:24:39,0
10:25:05,1
10:25:16,0
10:26:48,1
10:26:59,0
10:27:01,1
10:27:16,0
10:27:20,1
10:27:35,0
10:28:19,1
10:28:29,0
10:32:30,1
10:32:39,0
10:32:40,1
10:32:43,0
10:32:58,1
10:33:07,0
10:34:07,1
10:34:15,0
10:34:46,1
10:34:53,0
10:35:11,1
10:35:18,0
10:36:10,1
10:36:17,0
10:36:44,1
10:36:54,0
10:37:24,1
10:37:37,0
10:39:07,1
10:39:21,0
10:41:35,1
10:41:44,0
10:41:54,1
10:42:01,0
10:43:39,1
10:43:47,0
10:43:50,1
10:43:52,0
10:45:11,1
10:45:18,0
10:46:43,1
10:46:51,0
10:46:58,1
10:46:58,0
10:48:11,1
10:48:18,0
10:49:33,1
10:49:42,0
10:50:22,1
10:50:29,0
10:51:45,1
10:51:55,0
10:52:04,1
10:52:11,0
10:54:00,1
10:54:14,0
10:54:17,1
10:54:26,0
10:55:04,1
10:55:16,0
10:55:35,1
10:55:44,0
10:56:25,1
10:56:33,0
10:57:38,1
10:57:45,0
10:58:06,1
10:58:13,0
10:59:42,1
10:59:49,0
11:01:30,1
11:01:40,0
11:02:00,1
11:02:07,0
11:03:48,1
11:03:55,0
11:04:31,1
11:04:39,0
11:06:12,1
11:06:19,0
11:06:37,1
11:06:44,0
11:08:13,1
11:08:25,0
11:10:02,1
11:10:10,0
11:10:37,1
11:10:46,0
11:11:04,1
11:11:11,0
11:12:13,1
11:12:20,0
11:13:46,1
11:13:53,0
11:14:31,1
11:14:40,0
11:14:46,1
11:14:56,0
11:15:12,1
11:15:20,0
11:19:47,1
11:19:54,0
11:21:13,1
11:21:24,0
11:22:14,1
11:22:21,0
11:24:24,1
11:24:31,0
11:26:06,1
11:26:14,0
11:26:37,1
11:26:46,0
11:27:44,1
11:27:51,0
11:28:32,1
11:28:40,0
11:29:37,1
11:29:45,0
11:30:00,1
11:30:07,0
11:31:10,1
11:31:17,0
11:32:50,1
11:32:57,0
11:33:03,1
11:33:03,0
11:33:24,1
11:33:31,0
11:34:51,1
11:34:57,0
11:38:49,1
11:38:55,0
11:40:52,1
11:41:00,0
11:43:14,1
11:43:21,0
11:43:46,1
11:43:56,0
11:46:00,1
11:46:07,0
11:46:48,1
11:46:55,0
11:47:21,1
11:47:28,0
11:48:03,1
11:48:11,0
11:48:13,1
11:48:14,0
11:49:37,1
11:49:46,0
11:51:17,1
11:51:24,0
11:51:55,1
11:52:04,0
11:52:54,1
11:53:02,0
11:53:51,1
11:53:57,0
11:56:55,1
11:57:02,0
11:59:48,1
11:59:59,0
12:02:56,1
12:03:09,0
12:03:17,1
12:03:29,0
12:04:09,1
12:04:16,0
12:05:21,1
12:05:30,0
12:06:42,1
12:06:48,0
12:07:53,1
12:08:01,0
12:10:34,1
12:10:41,0
12:11:00,1
12:11:07,0
12:11:28,1
12:11:35,0
12:11:36,1
12:11:38,0
12:12:00,1
12:12:12,0
12:12:33,1
12:12:40,0
12:13:30,1
12:13:37,0
12:13:44,1
12:13:51,0
12:14:02,1
12:14:10,0
12:15:09,1
12:15:17,0
12:15:27,1
12:15:35,0
12:16:02,1
12:16:09,0
12:16:18,1
12:16:25,0
12:16:53,1
12:17:01,0
12:18:27,1
12:18:34,0
12:18:45,1
12:18:52,0
12:21:15,1
12:21:23,0
12:21:48,1
12:21:56,0
12:23:11,1
12:23:20,0
12:23:45,1
12:23:53,0
12:24:03,1
12:24:12,0
12:24:29,1
12:24:36,0
12:25:43,1
12:25:50,0
12:26:31,1
12:26:38,0
12:27:11,1
12:27:17,0
12:28:45,1
12:28:52,0
12:29:51,1
12:29:59,0
12:31:38,1
12:31:46,0
12:33:07,1
12:33:14,0
12:33:55,1
12:34:03,0
12:34:46,1
12:34:53,0
12:35:38,1
12:35:45,0
12:38:01,1
12:38:12,0
12:39:03,1
12:39:13,0
12:39:37,1
12:39:45,0
12:39:49,1
12:39:56,0
12:40:51,1
12:40:59,0
12:41:15,1
12:41:23,0
12:41:50,1
12:41:58,0
12:42:34,1
12:42:42,0
12:43:04,1
12:43:13,0
12:43:21,1
12:43:29,0
12:45:16,1
12:45:25,0
12:47:09,1
12:47:20,0
12:47:40,1
12:47:48,0
12:48:33,1
12:48:40,0
12:52:14,1
12:52:22,0
12:53:29,1
12:53:36,0
12:54:58,1
12:55:06,0
12:56:17,1
12:56:19,0
12:58:06,1
12:58:13,0
12:58:44,1
12:58:51,0
12:59:05,1
12:59:11,0
13:00:42,1
13:00:50,0
13:01:24,1
13:01:33,0
13:03:03,1
13:03:10,0
13:05:00,1
13:05:08,0
13:06:22,1
13:06:32,0
13:07:30,1
13:07:41,0
13:07:49,1
13:08:00,0
13:08:03,1
13:08:05,0
13:08:51,1
13:08:57,0
13:09:33,1
13:09:42,0
13:10:47,1
13:10:56,0
13:15:09,1
13:15:18,0
13:17:36,1
13:17:43,0
13:18:51,1
13:18:58,0
13:19:53,1
13:20:03,0
13:20:48,1
13:21:00,0
13:21:54,1
13:22:03,0
13:22:04,1
13:22:09,0
13:23:08,1
13:23:15,0
13:25:33,1
13:25:40,0
13:27:12,1
13:27:22,0
13:27:53,1
13:27:59,0
13:29:19,1
13:29:29,0
13:30:49,1
13:30:58,0
13:31:22,1
13:31:29,0
13:32:17,1
13:32:24,0
13:36:24,1
13:36:31,0
13:38:46,1
13:38:55,0
13:40:28,1
