t,n
00:00:31,1
00:05:30,1
00:10:28,1
00:15:27,1
00:20:26,1
00:25:25,1
00:30:23,1
00:35:22,1
00:40:21,1
00:45:20,1
00:50:18,1
00:55:17,1
01:00:16,1
01:05:15,1
01:10:14,1
01:15:12,1
01:20:11,1
01:25:10,1
01:30:08,1
01:35:07,1
01:40:06,1
01:45:05,1
01:50:03,1
01:55:02,1
02:00:01,1
02:05:00,1
02:09:58,1
02:14:57,1
02:19:56,1
02:24:55,1
02:29:53,1
02:34:52,1
02:39:51,1
02:44:50,1
02:49:48,1
02:54:47,1
02:59:46,1
03:04:45,1
03:09:43,1
03:14:42,1
03:19:41,1
03:24:40,1
03:29:38,1
03:34:37,1
03:39:36,1
03:44:35,1
03:49:33,1
03:54:32,1
03:59:31,1
04:04:30,1
04:09:29,1
04:14:27,1
04:19:26,1
04:24:25,1
04:29:23,1
04:34:22,1
04:39:21,1
04:44:20,1
04:49:19,1
04:54:17,1
04:59:16,1
05:04:15,1
05:09:14,1
05:14:12,1
05:19:11,1
05:24:10,1
05:29:09,1
05:34:07,1
05:39:06,1
05:44:05,1
05:49:04,1
05:54:02,1
05:59:01,1
06:04:00,1
06:08:59,1
06:13:57,1
06:18:56,1
06:23:55,1
06:28:54,1
06:33:52,1
06:38:51,1
06:43:50,1
06:48:49,1
06:53:47,1
06:58:46,1
07:03:45,1
07:08:44,1
07:13:42,1
07:18:41,1
07:23:40,1
07:28:39,1
07:33:37,1
07:38:36,1
07:43:35,1
07:48:34,1
07:53:32,1
07:58:31,1
08:03:30,1
08:08:29,1
08:13:27,1
08:18:26,1
08:23:25,1
08:28:24,1
08:33:22,1
08:38:21,1
08:43:20,1
08:53:17,1
08:58:16,1
09:03:15,1
09:08:14,1
09:13:12,1
09:18:11,1
09:23:10,1
09:28:09,1
09:33:07,1
09:38:06,1
09:43:05,1
09:48:04,1
09:53:03,1
09:58:01,1
10:03:00,1
10:07:59,1
10:12:58,1
10:17:56,1
10:22:55,1
10:27:54,1
10:32:53,1
10:37:51,1
10:42:50,1
10:47:49,1
10:52:48,1
10:57:46,1
11:02:45,1
11:07:44,1
11:12:43,1
11:17:41,1
11:22:40,1
11:27:39,1
11:32:38,1
11:37:36,1
11:42:35,1
11:47:34,1
11:52:33,1
11:57:31,1
12:02:30,1
12:07:29,1
12:12:28,1
12:17:26,1
12:22:25,1
12:27:24,1
12:32:23,1
12:37:21,1
12:42:20,1
12:47:19,1
12:52:18,1
12:57:16,1
13:02:15,1
13:07:14,1
13:12:13,1
13:17:11,1
13:22:10,1
13:27:09,1
13:32:08,1
13:37:06,1
13:42:05,1
13:47:04,1
13:52:03,1
13:57:02,1
14:02:00,1
14:06:59,1
14:11:58,1
14:16:57,1
14:21:55,1
14:26:54,1
14:31:53,1
14:36:51,1
14:41:50,1
14:46:49,1
14:51:48,1
14:56:47,1
15:01:45,1
15:06:44,1
15:11:43,1
15:16:42,1
15:21:40,1
15:26:39,1
15:31:38,1
15:36:37,1
15:41:35,1
15:46:34,1
15:51:33,1
15:56:32,1
16:01:30,1
16:06:29,1
16:11:28,1
16:16:27,1
16:21:25,1
16:26:24,1
16:31:23,1
16:36:22,1
16:41:20,1
16:46:19,1
16:51:18,1
16:56:17,1
17:01:15,1
17:06:14,1
17:11:13,1
17:16:12,1
17:21:10,1
17:26:09,1
17:31:08,1
17:36:07,1
17:41:06,1
17:46:04,1
17:51:03,1
17:56:02,1
18:01:01,1
18:05:59,1
18:10:58,1
18:15:57,1
18:20:56,1
18:25:54,1
18:30:53,1
18:35:52,1
18:40:50,1
18:45:49,1
18:50:48,1
18:55:47,1
19:00:46,1
19:05:44,1
19:10:43,1
19:15:42,1
19:20:40,1
19:25:39,1
19:30:38,1
19:35:37,1
19:40:35,1
19:45:34,1
19:50:33,1
19:55:32,1
20:00:31,1
20:05:29,1
20:10:28,1
20:15:27,1
20:20:26,1
20:25:24,1
20:30:23,1
20:35:22,1
20:40:21,1
20:45:19,1
20:50:18,1
20:55:17,1
21:00:16,1
21:05:14,1
21:10:13,1
21:15:12,1
21:20:11,1
21:25:10,1
21:30:08,1
21:35:07,1
21:40:06,1
21:45:05,1
21:50:04,1
21:55:02,1
22:00:01,1
22:04:59,1
22:09:59,1
22:14:57,1
22:19:56,1
22:24:54,1
22:29:53,1
22:34:52,1
22:39:51,1
22:44:49,1
22:49:48,1
22:54:47,1
22:59:46,1
23:04:44,1
23:09:43,1
23:14:42,1
23:19:41,1
23:24:39,1
23:29:38,1
23:34:37,1
23:39:36,1
23:44:34,1
23:49:33,1
23:54:32,1
23:59:31,1
