t,n
00:01:45,1
00:06:44,1
00:11:43,1
00:16:41,1
00:21:40,1
00:26:39,1
00:31:38,1
00:36:36,1
00:41:35,1
00:46:34,1
00:51:33,1
00:56:31,1
01:01:30,1
01:06:29,1
01:11:28,1
01:16:26,1
01:21:25,1
01:26:24,1
01:31:23,1
01:36:21,1
01:41:20,1
01:46:19,1
01:51:18,1
01:56:16,1
02:01:15,1
02:06:14,1
02:11:13,1
02:16:11,1
02:21:10,1
02:26:09,1
02:31:08,1
02:36:06,1
02:41:05,1
02:46:04,1
02:51:03,1
02:56:01,1
03:01:00,1
03:05:59,1
03:10:58,1
03:15:56,1
03:20:55,1
03:25:54,1
03:30:53,1
03:35:51,1
03:40:50,1
03:45:49,1
03:50:48,1
03:55:46,1
04:00:45,1
04:05:44,1
04:10:43,1
04:15:41,1
04:20:40,1
04:25:39,1
04:30:38,1
04:35:36,1
04:40:35,1
04:45:34,1
04:50:33,1
04:55:31,1
05:00:30,1
05:05:29,1
05:10:28,1
05:15:26,1
05:20:25,1
05:25:24,1
05:30:23,1
05:35:21,1
05:40:20,1
05:45:19,1
05:50:18,1
05:55:16,1
06:00:15,1
06:05:14,1
06:10:13,1
06:15:11,1
06:20:10,1
06:25:09,1
06:30:08,1
06:35:07,1
06:40:05,1
06:45:04,1
06:50:03,1
06:55:01,1
07:00:00,1
07:04:59,1
07:09:58,1
07:14:57,1
07:19:55,1
07:24:54,1
07:29:53,1
07:34:52,1
07:39:50,1
07:44:49,1
07:49:48,1
07:54:47,1
07:59:45,1
08:04:44,1
08:09:43,1
08:14:42,1
08:19:40,1
08:24:39,1
08:29:38,1
08:34:37,1
08:39:35,1
08:44:34,1
08:49:33,1
08:54:32,1
08:59:30,1
09:04:29,1
09:09:28,1
09:14:27,1
09:19:25,1
09:24:24,1
09:29:23,1
09:34:22,1
09:39:20,1
09:44:19,1
09:49:18,1
09:54:17,1
09:59:15,1
10:04:14,1
10:09:13,1
10:14:12,1
10:19:10,1
10:24:09,1
10:29:08,1
10:34:07,1
10:39:05,1
10:44:04,1
10:49:03,1
10:54:02,1
10:59:00,1
11:03:59,1
11:08:58,1
11:13:57,1
11:18:55,1
11:23:54,1
11:28:53,1
11:33:52,1
11:38:50,1
11:43:49,1
11:48:48,1
11:53:47,1
11:58:45,1
12:03:44,1
12:08:43,1
12:13:42,1
12:18:41,1
12:23:39,1
12:28:38,1
12:33:37,1
12:38:35,1
12:43:34,1
12:48:33,1
12:53:32,1
12:58:31,1
13:03:29,1
13:08:28,1
13:13:27,1
13:18:26,1
13:23:24,1
13:28:23,1
13:33:22,1
13:38:21,1
13:43:19,1
13:48:18,1
13:53:17,1
13:58:16,1
14:03:14,1
14:08:13,1
14:13:12,1
14:18:11,1
14:23:09,1
14:28:08,1
14:33:07,1
14:38:06,1
14:43:04,1
14:48:03,1
14:53:02,1
14:58:01,1
15:07:58,1
15:12:57,1
15:17:56,1
15:22:55,1
15:27:53,1
15:32:52,1
15:37:51,1
15:42:49,1
15:47:48,1
15:52:47,1
15:57:46,1
16:02:44,1
16:07:43,1
16:12:42,1
16:17:41,1
16:22:39,1
16:27:38,1
16:32:37,1
16:37:36,1
16:42:34,1
16:47:33,1
16:52:32,1
16:57:31,1
17:02:29,1
17:07:28,1
17:12:27,1
17:17:26,1
17:22:24,1
17:27:23,1
17:32:22,1
17:37:21,1
17:42:19,1
17:47:18,1
17:52:17,1
17:57:16,1
18:02:14,1
18:07:13,1
18:12:12,1
18:17:11,1
18:22:09,1
18:27:08,1
18:32:07,1
18:37:06,1
18:42:05,1
18:47:03,1
18:52:02,1
18:57:01,1
19:02:00,1
19:06:58,1
19:11:57,1
19:16:56,1
19:21:55,1
19:26:53,1
19:31:52,1
19:36:51,1
19:41:49,1
19:46:48,1
19:51:47,1
19:56:46,1
20:01:45,1
20:06:43,1
20:11:42,1
20:16:41,1
20:21:40,1
20:26:38,1
20:31:37,1
20:36:36,1
20:41:35,1
20:46:33,1
20:51:32,1
20:56:31,1
21:01:30,1
21:06:28,1
21:11:27,1
21:16:26,1
21:21:25,1
21:26:23,1
21:31:22,1
21:36:21,1
21:41:20,1
21:46:18,1
21:51:17,1
21:56:16,1
22:01:15,1
22:06:13,1
22:11:12,1
22:16:11,1
22:21:10,1
22:26:08,1
22:31:07,1
22:36:06,1
22:41:05,1
22:46:03,1
22:51:02,1
22:56:01,1
23:01:00,1
23:05:58,1
23:10:57,1
23:15:56,1
23:20:55,1
23:25:53,1
23:30:52,1
23:35:51,1
23:40:50,1
23:45:48,1
23:50:47,1
23:55:46,1
