t,n
00:00:51,1
00:05:50,1
00:10:49,1
00:15:47,1
00:20:46,1
00:25:45,1
00:30:44,1
00:35:42,1
00:40:41,1
00:45:40,1
00:50:39,1
00:55:37,1
01:00:36,1
01:05:35,1
01:10:34,1
01:15:32,1
01:20:31,1
01:25:30,1
01:30:29,1
01:35:27,1
01:40:26,1
01:45:25,1
01:50:24,1
01:55:22,1
02:00:21,1
02:05:20,1
02:10:19,1
02:15:17,1
02:20:16,1
02:25:15,1
02:30:14,1
02:35:12,1
02:40:11,1
02:45:10,1
02:50:09,1
02:55:07,1
03:05:05,1
03:10:04,1
03:15:02,1
03:20:01,1
03:25:00,1
03:29:59,1
03:34:57,1
03:39:56,1
03:44:55,1
03:49:54,1
03:54:52,1
03:59:51,1
04:04:50,1
04:09:49,1
04:14:47,1
04:19:46,1
04:24:45,1
04:29:44,1
04:34:43,1
04:39:41,1
04:44:40,1
04:49:39,1
04:54:37,1
04:59:36,1
05:04:35,1
05:09:34,1
05:14:33,1
05:19:31,1
05:24:30,1
05:29:29,1
05:34:28,1
05:39:26,1
05:44:25,1
05:49:24,1
05:54:23,1
05:59:21,1
06:04:20,1
06:09:19,1
06:14:18,1
06:19:16,1
06:24:15,1
06:29:14,1
06:34:13,1
06:39:11,1
06:44:10,1
06:49:09,1
06:54:08,1
06:59:06,1
07:04:05,1
07:09:04,1
07:14:03,1
07:19:01,1
07:24:00,1
07:28:59,1
07:33:58,1
07:38:56,1
07:43:55,1
07:48:54,1
07:53:53,1
07:58:51,1
08:03:50,1
08:08:49,1
08:13:48,1
08:18:46,1
08:23:45,1
08:28:44,1
08:33:44,1
08:38:41,1
08:43:40,1
08:48:39,1
08:53:38,1
08:58:36,1
09:03:35,1
09:08:34,1
09:13:33,1
09:18:31,1
09:23:30,1
09:28:29,1
09:33:28,1
09:38:27,1
09:43:25,1
09:48:24,1
09:53:23,1
09:58:21,1
10:03:20,1
10:08:19,1
10:13:18,1
10:18:17,1
10:23:15,1
10:28:14,1
10:33:13,1
10:38:12,1
10:43:10,1
10:48:09,1
10:53:08,1
10:58:07,1
11:03:05,1
11:08:04,1
11:13:03,1
11:18:02,1
11:23:00,1
11:27:59,1
11:32:58,1
11:37:57,1
11:42:55,1
11:47:54,1
11:52:53,1
11:57:52,1
12:02:50,1
12:07:49,1
12:12:48,1
12:17:47,1
12:22:45,1
12:27:44,1
12:32:43,1
12:37:42,1
12:42:40,1
12:47:39,1
12:52:38,1
12:57:37,1
13:02:35,1
13:07:34,1
13:12:33,1
13:17:32,1
13:22:31,1
13:27:29,1
13:32:28,1
13:37:27,1
13:42:26,1
13:47:24,1
13:52:23,1
13:57:22,1
14:02:21,1
14:07:19,1
14:12:18,1
14:17:17,1
14:22:15,1
14:27:14,1
14:32:13,1
14:37:12,1
14:42:10,1
14:47:09,1
14:52:08,1
14:57:07,1
15:02:05,1
15:07:04,1
15:12:03,1
15:17:02,1
15:22:01,1
15:26:59,1
15:31:58,1
15:36:57,1
15:41:55,1
15:46:54,1
15:51:53,1
15:56:52,1
16:01:51,1
16:11:48,1
16:16:47,1
16:21:46,1
16:26:44,1
16:31:43,1
16:36:42,1
16:41:41,1
16:46:39,1
16:51:38,1
16:56:37,1
17:01:36,1
17:06:34,1
17:11:33,1
17:16:32,1
17:21:31,1
17:26:29,1
17:31:28,1
17:36:27,1
17:41:26,1
17:46:24,1
17:51:23,1
17:56:22,1
18:01:21,1
18:06:19,1
18:11:18,1
18:16:17,1
18:21:16,1
18:26:14,1
18:31:13,1
18:36:12,1
18:41:11,1
18:46:09,1
18:51:08,1
18:56:07,1
19:01:06,1
19:06:04,1
19:11:03,1
19:16:02,1
19:21:01,1
19:25:59,1
19:30:58,1
19:35:57,1
19:40:56,1
19:45:55,1
19:50:53,1
19:55:52,1
20:00:51,1
20:05:49,1
20:10:48,1
20:15:47,1
20:20:46,1
20:25:44,1
20:30:43,1
20:35:42,1
20:40:41,1
20:45:39,1
20:50:38,1
20:55:37,1
21:00:36,1
21:05:35,1
21:10:33,1
21:15:32,1
21:20:31,1
21:25:29,1
21:30:28,1
21:35:27,1
21:40:26,1
21:45:25,1
21:50:23,1
21:55:22,1
22:00:21,1
22:05:20,1
22:10:18,1
22:15:17,1
22:20:16,1
22:25:15,1
22:30:13,1
22:35:12,1
22:40:11,1
22:45:10,1
22:50:09,1
22:55:07,1
23:00:06,1
23:05:05,1
23:10:03,1
23:15:02,1
23:20:01,1
23:25:00,1
23:29:58,1
23:34:57,1
23:39:56,1
23:44:55,1
23:49:53,1
23:54:52,1
23:59:51,1
